date,start_time,tournament,type,tour,draw,server1,server2,winner,pbp,score,adf_flag,round,surface,duration,server1_ioc,server2_ioc
2016-05-05,12:17:17,Madrid,Singles,ATP,64,Andy Murray,Gilles Simon,1,sAsrS;SDsSrS;SsRSRRsDSrSRSS;SSsrRS;SSSRS;ssARRS;SSSS;SrsrSrrSSS;SsSS;SSRRrR.SARSs;sSrRRr;RssSRS;SSrrsRRSss;sSSRS;SSrrSS;Ssrss;RsrsrsrR,4-6 2-6,1,R16,Clay,01:39:00,GBR,FRA
2016-05-05,14:00:55,Madrid,Singles,ATP,64,Richard Gasquet,Kei Nishikori,1,sRRRSSRR;SssRs;RrAsSs;sSrDSS;rRsSrSsS;rrRR;ArRrSR;SSSS;RrSSRssrSs;SRSRSS.sSRrAS;AssS;RSSSrRRR;ssrSS;SRSSs;rSSRSS;ssrSRrSS;SSSs;RSsSDS;RsSSrRRR;RRsRR;SSrrRSSrSS,4-6 5-7,1,R16,Clay,01:39:50,FRA,JPN
2016-05-05,14:17:33,Madrid,Singles,ATP,64,Tomas Berdych,David Ferrer,0,SARss;sRsRsDSs;SssRs;RSSRSS;SSSS;SssrA;RSsss;SSsS;SSSs;rDSsrSSrSs;SssA;SSSRS;R/SR/Sr/RR/rs/Sr/rS/SR/RS/R.SRrDAR;sSsS;ASsRs;rrsrr;RSSSS;ssrSS;rRrsSD;SDRSsrSS;RsSAS;rSRrD;RDsSRr;srRSrSRssA,7-6(8) 7-5,1,R16,Clay,01:55:21,CZE,ESP
2016-05-05,16:16:07,Madrid,Singles,ATP,64,Roberto Bautista-Agut,Novak Djokovic,0,sSSS;SsSrS;RssARrSS;rSsrSRSRsS;rssRRSrsrsSrRR;sSSS;rrRR;rASRSrSS.SRSss;SSrSrS;RSrRR;sSSrs;SSrRRR;SrSSS;RRrR,6-2 6-1,1,R16,Clay,01:08:25,ESP,SRB
2016-05-05,16:39:31,Madrid,Singles,ATP,64,Pablo Cuevas,Nick Kyrgios,0,DSRSSS;sSrSS;SSsrS;SRSAA;SSSRS;RSsAA;SSRRSS;SRSrSRRSSRAS;AsSA;AsrSRRsA;SRSRAS;SssS;S/sr/RS/Ss/Ss/ss/R.RARRR;RSSSS;SAArS;SRSSS;RSRRSSrsSS;SSss;SSsRRRSS;sssA;SSSS;SRsRSRAs.SrsrRSrr;rRSRsr;RSSRArSs;SRARSRSS;rsSSA;RSRSSS;RArSSS;RRrsAr;sAsrRS,7-6(5) 4-6 6-3,1,R16,Clay,02:04:08,URU,AUS
2016-05-05,19:05:38,Madrid,Singles,ATP,64,JoaoSousa,Jack Sock,1,SrrrSSRSRSrSsS;sSDRRsSRRR;SsSS;rSrSrSSS;sSrrSs;sRsRrR;sSSs.rRSSRSSs;SRSSS;SRSRRssrRr;rSsRsRSS;Ssss;RRSSsrSrRR;rsrSsS;SSSs;sDASS;RSSSS;SrASs;RRSRSSAs;S/RA/SA/SS/sA/R.RSSSRRSS;rRSSRsRSDSrr;SRSsrS;sSSRRs;rSsSrs;DsSSrS;SSRSS;sRRSrR,1-6 7-6(3) 2-6,1,R16,Clay,02:14:45,POR,USA
2016-05-05,20:12:14,Madrid,Singles,ATP,64,Sam Querrey,Rafael Nadal,0,sAAS;rDSRsr;sSsS;sRSSS;SDASA;rRSSRSSS;SSrARrrARR;SSsS;ARArRr;rSSsrS.RrrSSR;SSRRSS;SsSA;RrRSSR;RSrSRR;sSSA;rRsRD;SSRSRS,6-4 6-2,1,R16,Clay,01:09:53,USA,ESP
2016-05-06,12:12:25,Madrid,Singles,ATP,64,Andy Murray,Tomas Berdych,1,sssrS;srrSRr;rSSsrS;rsrsSS;rSSSS;sSsRs;RsrsSS;RrSSsDRSSrsRsRSS;SrssS.SrSss;sAAs;rSSSS;SSSS;RSrSSrRr;sSSs;rSRRr;SRSss,3-6 2-6,1,QF,Clay,01:16:32,GBR,CZE
2016-05-06,14:46:56,Madrid,Singles,ATP,64,Kei Nishikori,Nick Kyrgios,1,SsSS;SArSS;AARSS;RASRRAAS;SArSRS;SSSs;ssss;SDRsRsSRSRsA;RsSSS;ASAS;ARSSs;SSSs;S/SS/AS/rs/Sr/SA/Sr/A.RrSrsSsRSA;SRRSSS;sSAA;rSSrsS;SSSDA;RsSrSRSs;RSrSAS;SRrSSRSS;AsRSS;sSSrS;ASSs;SRRsSDSS;R/SS/rs/ss/R.SSSRS;RSAsrS;SsRSS;rrSrsR;sSSRrRSs;SRrsRsrsSA;SRrrSsSRrsSs;SsSs;SSSRRrsS,7-6(6) 6(1)-7 3-6,1,QF,Clay,02:38:37,JPN,AUS
2016-05-06,16:13:54,Madrid,Singles,ATP,64,Rafael Nadal,JoaoSousa,0,SSss;rRRSR;RrSARSSS;rrRSR;SRRSSs;SrrRSSRR.SSrrRSSs;sRSSs;sRSSS;SSsRS;SSSS;SRRSrSrsrsSS;rsSSRS;SSSS;RSRSRR;SsSRS.AASs;RSRrSsSS;SRRSSs;SRSSA;rsSrSS;SsSS;SSss;SRrrD;SRSsRS,6-0 4-6 6-3,1,QF,Clay,01:56:42,ESP,POR
