date,start_time,tournament,type,tour,draw,server1,server2,winner,pbp,score,adf_flag,round,surface,duration,status,server1_age,server2_age,server1_ioc,server2_ioc,server1_rank,server2_rank,server1b,server2b,server1b_age,server2b_age,server1b_ioc,server2b_ioc,server1b_rank,server2b_rank
2015-02-02,18:05,Zagreb,Doubles,ATP,Main,Mate Delic,Gilles Muller,1,SRRRR;SRRSSS;RSSRRR;RRRR;RSRRR;RSSSS;RRRR.RRRSR;RRSRSR;RRRSSR;RRRR;RSSRRSR;SSRRSS;RRRR;RRRR;SRSSS;RSRSRSR;RRRR;SRRRSR;S/RS/RS/RS/RR/RS/R.RSS/RR/RS/RR/RS/R,1-6 7-6(5) 2-10,0,R16,hard,1:07,,21.76,26.11,,,,,Nikola Mektic,Igor Sijsling,26.11,27.46,,,,
2015-02-02,18:55,Zagreb,Doubles,ATP,Main,Sergey Betov,Andreas Seppi,0,RRRR;RRRR;RRSRSR;RSSRSRR;SSRRSRR;RRRR;SSRRRSS;RRRR;SRRRR;RRRR.RRRSR;RRRR;RRSRR;RSRSRSS;RRRR;RSSRRSS;RRSSSS;RRSRR;SRSSRRR.RSR/SR/SS/RR/SS/R,6-4 3-6 10-2,0,R16,hard,1:03,,27.30,27.39,,,,,Aliaksandr Bury,Mikhail Youzhny,27.39,32.61,,,,
2015-02-03,13:10,Zagreb,Doubles,ATP,Main,Martin Emmrich,Ricardas Berankis,0,RRRSSSR;SRRSRSR;RRRR;RSSSRRS;RRRSR;RSSRRR;RRRR;RSRRSSR;SSSRRRS;RSRRSR;RRRR;SRRRR;R/RR/RS/RR/RR/RR.SRRRR;SRRSSRR;SRRRR;RSRRR;RSRRSR;SSRRSRS;RRRR;RSSSRS,7-6(4) 6-2,0,R16,hard,1:21,,30.13,33.54,,,,,Andreas Siljestrom,Adrian Mannarino,33.54,26.60,,,,
2015-02-03,16:50,Zagreb,Doubles,ATP,Main,Borna Coric,Marin Draganja,1,RRSRR;RSSSS;RRRR;RRRR;RSRRR;SRSRRSR;SRRSRR;RRRR;RRRR.RSRSRSR;RRSRR;RRSSRR;RSRSSRS;RRRR;RRSRR;SSSS;RSSRRR;SRSSRRS;SRRRSR,3-6 4-6,0,R16,hard,1:01,,18.22,30.09,,,,,Ivan Dodig,Henri Kontinen,30.09,24.63,,,,
2015-02-03,18:20,Zagreb,Doubles,ATP,Main,Lukas Lacko,Blaz Kavcic,1,SRRRR;SSRSRS;SSSRRRS;SRRRSSS;SRSRSRR;SSSS;RSSRSS;RSSSRRR;SRSRSS;SSRSS.RSSRRSS;RSRSSS;RSSRRR;SSSRS;SRSRSRS;SSRSS;RSSRRSS;SRSSS;SSRRRSS;RSSRSS,4-6 4-6,0,R16,hard,1:10,,27.25,35.95,,,,,Alessandro Motti,Franco Skugor,35.95,,,,,
2015-02-04,14:35,Zagreb,Doubles,ATP,Main,Gilles Muller,Marin Draganja,1,SRSSS;RSSSS;RSRRR;SSRSS;SSSS;SSRRSS;RSSSRS;SSRRRSR;RRSSRSS;SRSSS;RRRR;SSSRS.SSSS;SSRRSS;RSSRSS;SSSS;SSSS;SRSRRSS;SRRRSSR;SRSSS;SSSRRS;RSRSSS,5-7 4-6,0,QF,hard,1:09,,31.74,27.47,,,,,Igor Sijsling,Henri Kontinen,27.47,24.63,,,,
2015-02-04,16:00,Zagreb,Doubles,ATP,Main,Sergiy Stakhovsky,Andre Begemann,0,SRRRR;SSSRS;RSRSSS;RRRR;RSRRSSR;RRRR;RRRSR;RRRR;SSRSS;SRSRSRR.RRRSR;RSRRSR;RRSSRR;SSSS;RRRR;SRRSSS;SSRRSS;RSRSRR;RSRSSRS;SRSRRR;SRRSRSR;SRSRSRR;S/RR/SS/SR/RR/SS/RS/R,6-4 7-6(6),0,R16,hard,1:17,,29.08,28.98,,,,,Viktor Troicki,Robin Haase,28.98,27.83,,,,
2015-02-04,17:35,Zagreb,Doubles,ATP,Main,Robert Lindstedt,Jesse Huta-Galung,0,SRSRRSS;RSRRSSS;SSRSS;RRSRSSS;SSSRS;SSSS;SSSS;SSRRRSR;SSRRSRS.RSRSRSS;SSSRS;SSSS;SSSS;RSRRSSS;RSRSRSR;SRRSSS;RRRSSR.RSS/RS/RS/RS/SR/RS/SR/SS/S,6-3 2-6 10-8,0,R16,hard,1:13,,37.88,34.05,,,,,Marcin Matkowski,Dominik Meffert,34.05,33.82,,,,
2015-02-04,19:00,Zagreb,Doubles,ATP,Main,Fabrice Martin,Dino Marcan,0,RRRR;SSSS;SSSS;RSRSSRS;SRSSS;SSSS;SSRSS;SSSS;RSSRSS;SSRSS.RSSRSS;SSRRSS;SSRRSS;RRSSRR;RSSSS;RRSSRSS;SSSRS;RSRSSRR.SSR/SR/RR/SR/SS/SS/RS/S,4-6 6-2 10-6,0,R16,hard,1:07,,28.40,29.16,,,,,Purav Raja,Antonio Sancic,29.16,26.20,,,,
2015-02-05,12:25,Zagreb,Doubles,ATP,Main,Sergey Betov,Blaz Kavcic,0,SSRSS;SSSS;SSRSRS;SSRRRSS;RSSSS;SRSSS;SSSS;SSSRS;SRRSSRR;SRRSSRR;SRSRRSS;SSSS;S/SR/SS/SR/SS.SSSS;RSSSS;SRSSS;SSSRRS;SSSRRS;SSSS;RRRR;SRRSSS;RRSRSR,7-6(2) 6-3,0,QF,hard,1:13,,27.31,27.39,,,,,Aliaksandr Bury,Franco Skugor,27.39,,,,,
