date,start_time,tournament,type,tour,draw,server1,server2,winner,pbp,score,adf_flag,round,surface,duration,status,server1_age,server2_age,server1_ioc,server2_ioc,server1_rank,server2_rank,server1b,server2b,server1b_age,server2b_age,server1b_ioc,server2b_ioc,server1b_rank,server2b_rank
2016-05-05,12:17:28,Madrid,Doubles,ATP,32,Pierre Hugues Herbert,Pablo Carreno-Busta,0,SDssS;SsSrS;RRSASS;RrSSSRS;DSSsrS;SDSSrS;SSsS;RSSRSRr;SSrSs.sSSRS;RRssRSA;SRRRR;SSrss;RSSSS;RSSsRrS;SArss;RrSsRSR;SSSS;sSSS;SrSSS;SRSARrS;R/Ss/Ss/AS/sS/Ss,6-3 7-6(4),1,R16,Clay,01:22:40,,,,FRA,ESP,,,Nicolas Mahut,Fernando Verdasco,,,FRA,ESP,,
2016-05-05,18:41:21,Madrid,Doubles,ATP,32,Lukasz Kubot,Bob Bryan,1,SsrRRSs;SSRSrS;SSrRrSS;SRSRSS;rRSSSRA;SsrSRS;SsRrSS;SSSS;RSSSs;SSSA;SrSSRRR;sSrRSrS.RRSSSs;SssRS;SSSRDS;rrSDR;SSrSS;sssS;RSSRSS;RsRDR.A/SR/RS/SS/SS/RS/sR/SS/sR/S,5-7 6-2 8-10,1,R16,Clay,01:21:35,,,,POL,USA,,,Marcin Matkowski,Mike Bryan,,,POL,USA,,
2016-05-05,20:27:40,Madrid,Doubles,ATP,32,Rohan Bopanna Machanda,Pablo Cuevas,0,DSSRSRs;rsSSRS;SsRrRR;SDRRSR;sSSS;SDASS;rSRSSS;SssrrS;SrSSRA;SSSS;rSDSDr;DRRR;s/SS/rR/Rr/Sr/SS.RSsAS;AASS;RSSRSRA;SRRRr;RRSSrR;SASS;RRrAr;rsASRS;AASS;AASs.S/RA/Rr/ss/RS/Ss/Rs/S,6(4)-7 6-4 10-4,1,R16,Clay,01:28:51,,,,IND,URU,,,Florin Mergea,Marcel Granollers,,,ROU,ESP,,
2016-05-06,12:16:16,Madrid,Doubles,ATP,32,Alexander Peya,Jean-Julien Rojer,0,SSAS;SrSDrsS;rRASSS;SSSRS;SsSrS;SSAs;SDRSDr;RrSsRSR;ASrARs;SDRsSs;SRSSA;RsSSS;S/SS/SR/Sr/AS/SS/R.rSSrSA;SsrRSS;SAss;RsSrSrS;RRSDSSs;DSsSS;SSsrRS;SRRSSS;ARRSrSs;SSSs;rRSSRSS;Ssss;A/AR/Ss/DS/SS,7-6(5) 7-6(2),1,QF,Clay,01:39:40,,,,AUT,NED,,,Nenad Zimonjic,Horia Vlad Tecau,,,SRB,ROU,,
2016-05-06,17:47:03,Madrid,Doubles,ATP,32,Bob Bryan,Pierre Hugues Herbert,0,RSSSs;SsSS;rssSA;RSsSS;RsSSS;RAASs;RSrSSRS;RRARSR;SSSS.SSSs;DSSSS;SSSS;sSRSS;rARSsrs;RSsRSS;SSSs;SRSrSS;RrSASs;SRSsS;SSRSA;SRSSA;S/rS/RS/RS/Ss/SR.S/Ss/Sr/SR/SS/AS/Ss/sS/rS/S,3-6 7-6(4) 10-8,1,QF,Clay,01:22:41,,,,USA,FRA,,,Mike Bryan,Nicolas Mahut,,,USA,FRA,,
2016-05-06,19:29:46,Madrid,Doubles,ATP,32,Ivan Dodig,Vasek Pospisil,1,SASRS;SRrRR;SSSS;SSDRSRS;sRSrAs;RsRrSSS;SRSsS;DSSsS;sSSRS.sSSS;SrrSSA;SsRSs;SDRSSS;AssRs;sSAS;SSRRRSr;SSrSA;SsrSRS;SSsrrrS,3-6 4-6,1,QF,Clay,00:59:50,,,,CRO,CAN,,,Marcelo Melo,Jack Sock,,,BRA,USA,,
2016-05-08,15:40:21,Madrid,Doubles,ATP,32,Rohan Bopanna Machanda,Jean-Julien Rojer,0,ssRAA;SSrSDS;srrrD;RSSSrrs;ASAS;SSSrS;SSSs;SssS;SSAS;sSDSRS.Ssss;sSRSS;RsSrSs;SSss;SsAS;rSSAs;SrSsRs;SSrSS;SSRrAS;sSDRSS;RSSRSs;SSSS;s/SA/SS/SS/AR/rS/R,6-4 7-6(5),1,F,Clay,01:11:58,,,,IND,NED,,,Florin Mergea,Horia Vlad Tecau,,,ROU,ROU,,
2016-05-13,12:11:21,Rome,Doubles,ATP,32,Bob Bryan,Jamie Murray,1,SSrSS;sSSrS;RRSSSs;RDRSSr;SSrSS;RSsRSrs;SRSrRR;SSRDSrR;SrSSs.SRsSS;ssSrs;SRSSS;SSAS;SSss;SsSS;SRSRSRr;sSSrS;RAsSs;ssSs,3-6 4-6,1,QF,Clay,01:02:05,,,,USA,GBR,,,Mike Bryan,Bruno Soares,,,USA,BRA,,
2016-05-13,13:37:02,Rome,Doubles,ATP,32,Julien Benneteau,Oliver Marach,1,sssA;SsRSs;RSrssA;SSsS;sSrRsRS;SrRSsS;RRSSSRR;SsDSs;srSSS;rSSRSS.sRSSS;ASrsS;SrSSS;rSRARr;SrrRSSR;sSSS;SsRDSS;ssSrs;SSsRRS;rRrSssS;rSSARS;RrRR.R/sS/SS/ss/SS/SR/SS/Ss/SS/r,6-4 5-7 8-10,1,QF,Clay,01:47:27,,,,FRA,AUT,,,Edouard Roger-Vasselin,Marcin Matkowski,,,FRA,POL,,
2016-05-13,15:46:03,Rome,Doubles,ATP,32,Pablo Cuevas,Vasek Pospisil,0,sSsDrS;SsDss;ssSs;sSSrS;SrSSA;SsSS;SrsrRr;SRrSSs;sSSRs;SRrSSS.sssS;RASRDr;rSARsRR;rSRRSSs;ssSA;DrsSsS;SSrRSS;sSsS;RSSSs;RDSSSs;rSRsRR;SRRRSr;S/SS/rR/Rr/RS/As,6-4 7-6(4),1,QF,Clay,01:24:42,,,,URU,CAN,,,Marcel Granollers,Jack Sock,,,ESP,USA,,
2016-05-13,17:29:00,Rome,Doubles,ATP,32,Rohan Bopanna Machanda,Philipp Kohlschreiber,0,rSsSS;rsSsS;ASSA;RSSSS;sRSSA;RrrsSsR;RsrrSSS;SsRRSS;Ssss.RSRRSR;SDARSS;ARsRSS;sRssS;sSsS;SSsrS;RSsRRSS;RsSsDS;RSSSS;SSrsS,6-3 6-4,1,QF,Clay,00:55:57,,,,IND,GER,,,Florin Mergea,Viktor Troicki,,,ROU,SRB,,
2016-05-14,23:33:03,Rome,Doubles,ATP,32,Bob Bryan,Julien Benneteau,1,ssSA;sRARSRS;RDSrr;ASsS;SSDAS;RRARSSS;SRSRSRS;rRSRR;RSsRSS;SArRAs;ASSS;ARsrsRs;R/Rs/RS/RS/RS/AR/R.DSSsS;RSSSRrS;srrRR;SrASS;SRSRRsR;SSSRS;SSsS;SSAs.s/sS/sr/RS/SR/SS/SS/SS/SR,7-6(5) 2-6 7-10,1,SF,Clay,01:32:16,,,,USA,FRA,,,Mike Bryan,Edouard Roger-Vasselin,,,USA,FRA,,
2016-05-20,12:43:32,Nice,Doubles,ATP,16,Eric Butorac,Juan Sebastian Cabal,0,SSSS;SSSDs;SrSrRR;SRrSsDS;sSrRRR;SrsAS;SsSRDS;SsSs.SRSSS;SSAs;SRrRsR;ARrsSS;SSrSS;RARARss;RrRSSSS;rsASS;RSRSrR,6-2 6-3,1,SF,Clay,01:00:36,,,,USA,COL,,,Scott Lipsky,Robert Farah,,,USA,COL,,
2016-05-20,14:36:28,Geneva,Doubles,ATP,16,Raven Klaasen,Mariusz Fyrstenberg,0,SSSs;rSrDSR;SRRsSS;ssRsS;SrRrSSR;SrRRsSs;RSDsSs;rSrSRsr;RSRSDSs.SRRSSS;RSsSs;ASrSS;srsSs;rSRrSSR;SrrSrSs;ssSs;RSsRSRs;RrsSSS;sSsS,6-3 6-4,1,SF,Clay,01:10:51,,,,RSA,POL,,,Rajeev Ram,Santiago Gonzalez,,,USA,MEX,,
2016-05-20,18:19:40,Geneva,Doubles,ATP,16,Steve Johnson,Julian Knowle,0,srSss;SSRrSs;SRSAS;rrSrsSR;RsDSss;RRARSSs;sSRSS;DRSSsS;srASA.rSsSRRS;ASAA;srSSRRS;RRrR;RRSSSS;SSrrAS;RRSRSSs;rsRASS;SsSS.S/Ss/RA/SS/rs/rS/SS/RR/sR/R,6-3 3-6 10-8,1,SF,Clay,01:09:24,,,,USA,AUT,,,Sam Querrey,Lukas Rosol,,,USA,CZE,,
