date,start_time,tournament,type,tour,draw,server1,server2,winner,pbp,score,adf_flag,round,surface,duration,status,server1_age,server2_age,server1_ioc,server2_ioc,server1_rank,server2_rank
2017-02-03,16:17:49,Davis Cup Single Matches,Singles,Davis Cup,,Ricardo Rodriguez-Pace,Philip Wilbert Major,0,RSrSRR;RrRsR;SrRSrR;rSsSS;srRrSr;rSrrR;SSrSS;SSSS;SSSRRs;RDArR;RsSSS;DSSSS;S/SS/SR/SR/SR/Rs/D.RRrR;SsrrSS;SSRrsS;SSSS;sSRrSrSRRssrrR;SSSS;RRrSSR.RSSSS;SrsRRSrSSS;SrSrSs;rrRR;SSArS;RsRRSsRr;RSrSrSSS.SSsRS;SrSRRASS;SsRrDR;SRSRRsSrSS;RrRR;SrsSS;SrSRsrSrRsSRrr,6(5)-7 6-1 6-1 6-1,1,QF,,02:43:59,,,,VEN,BAH,,
2017-02-03,19:34:46,Davis Cup Single Matches,Singles,Davis Cup,,Spencer Newman,Luis David Martinez,0,RRRR;RrsSDR;sSSS;SDSRSDSS;RRDR;sSRRSA;SRSSDS;RrRSSsrR;SRSRRR;SRsSrrRR;DDsSRR;SSSrrRss.rSRDR;rSsRss;RssSRRRSRSRSsRRD;rSSSrs;SDRDR;sSrsRS.SSsDS;sRRSSA;RrsSSs;rSSrRr;RSRSRSRR;sDsrss;rDSSSS;sRRSSS;RsRSSrSS;sSss;RSDRSR;SSsRrrDR;r/RD/RR/sS/SS/sR/R,7-5 6-0 7-6(5),1,QF,,02:29:47,,,,USA,VEN,,
2017-02-03,1:08:14,World Group,Singles,Davis Cup,,Jiri Vesely,Jordan Thompson,0,RDSrr;SSDSA;SSrSs;sSsS;rsSSRS;SsAS;rsRSSrsRsS;RsSSS;rSSSRRrSrR.SssrS;DRRSssSA;sSSrs;sSrRSS;RSRSRsss;sSsrrS;sSrSS;rrRsSSrR;ArRSsS.rRSSSS;RRsrsssS;SDSSrrSA;RrSAsrss;RRRr;SsSA;SSSRDS;rSrrr;DSSDSrRR;RSSSA,6-3 6-3 6-4,1,R16,,02:06:22,,,,CZE,AUS,,
2017-02-03,3:49:35,World Group,Singles,Davis Cup,,Nick Kyrgios,Jan Satral,0,sSRAs;RRARD;DArRSASRrSSA;rsSSA;SSsRA;rRSSArrSSA;ASARA;srrsDr.SRSsA;ArssrDRARSrD;SssDS;RssSS;SRRSAA;SASS;SADSRrAS;sAss;AsAS.SsrrRsRSrr;ArssA;rrRsD;sSARs;ASARrrAs;SSsrrDAA;rrSRAsRSAS;RssARrsS,6-2 6-3 6-2,1,R16,,01:34:40,,,,AUS,CZE,,
2017-02-03,4:08:39,World Group,Singles,Davis Cup,,Taro Daniel,Richard Gasquet,1,DsSsDRRR;rsSRSA;RSASrrDSSs;SsSrrS;rRASsRsRRr;Ssss;sDssS;AsADrS.SSrrrSsS;SSAS;SRSrsRARsrRR;RsrsAs;sSsrRRSs;rRRR;RRRSr;SsADrS;rRrSsSSRSrRD.rSSRAs;SrsrSS;Ssss;rASSS;sSSS;sSrrRR;SSrSs;sSDrRsSRRSrD,2-6 3-6 2-6,1,R16,,02:02:59,,,,JPN,FRA,,
2017-02-03,6:42:13,World Group,Singles,Davis Cup,,Yoshihito Nishioka,Gilles Simon,1,rsSsS;Rsrrr;rRSrSR;sSADS;RSSRRSRSSs;RrsSSs;sSRRDR;rSsSA;SsSRDrRsrr.SAsS;rSsSRS;DRSsSs;RsSss;srRRR;rSrRr;SrSSs;SrrrR;sDSRsS.rRrR;rsrRssSS;RsSSs;RrssSS;sSrSS;DsRsRsrD;rSsrSS;RDsSAs;RSRsSrRR;RRSsSS,3-6 3-6 4-6,1,R16,,01:59:03,,,,JPN,FRA,,
2017-02-03,14:09:25,World Group,Singles,Davis Cup,,Philipp Kohlschreiber,Steve Darcis,1,rSSSA;rSsSRS;SRSrRsSS;rRRSsSSs;SRrSRSSrSRrr;RSSrSs;SsrRrR;SSDRrD;rrSSSs;RrSsSS.sRRSAs;SRsArRRr;SSrSA;RRSSSs;sSsDA;SSsS;rSSsrS;RrASsS;rSsSrRSS.RsrRSr;SSsS;SSRsS;SSRSrS;SSSs;AsSS;SsRrRR;SrSSrS.sRSSA;rRRsssSrSS;rsSsS;SSSs;srsrRR;sSSS;SSsRs;rSRRr;RRSSSA;RSSRss;RsRSSRSS;sSSA;S/rS/sS/RS/SS.SSrAS;DrSssrRSsRRR;SSrsS;SrRRssSS;SrSSS;sSRSS;SRArRR;SRSRsS;rsRRSR;SSRRrR;SSsA;SssRs;S/SS/Sr/SS/ss/RS/R,4-6 6-3 6-2 6(2)-7 6(5)-7,1,R16,,03:53:09,,,,GER,BEL,,
2017-02-03,15:07:23,World Group,Singles,Davis Cup,,Pablo Carreno-Busta,Franko Skugor,0,SsAS;rSSSs;sSSs;rSAsrS;RRRSssRSrsSs;RRRR;RArsSS;rSsss;SSsDrrsS.sRsRSS;RrSsSs;SSSA;SrSSs;SsSS;rrSrsSrr;rSsRSS;SsSrS;SssS.SRrSSRDr;SsRsS;SsSrrS;rrSsSRRSrD;SRRArR;sRssS;srrSrSSs;sSSrs;SSSRS;SsDsRRrSSs.SSrSs;SRSRSRSS;SRSRRSSS;ssrSs;SSSS;SSSrrS;SSSrRRAs;SRsrSRSRSS;SSrsS;RSSRrr.SSSDS;DrrsR;SASS;sRRSSS;SSsS;RSSsrS;rsSrsS;SAsA;SrRSDr;RSARRsRSsRSrSrrSArSS;SSRrSS;ssRSrs;R/Ss/sS/AS/SS/Sr/SR/s,3-6 6-3 6-4 4-6 7-6(6),1,R16,,04:03:47,,,,ESP,CRO,,
2017-02-03,15:06:40,World Group,Singles,Davis Cup,,Karen Khachanov,Viktor Troicki,0,DrsrD;rsrARASrAS;rSsARrSA;sSRRss;rrAArR;RSRAAS;SSss;RSsrrr;ASrSA;SsrSs.SRRSss;rRSrsD;rrSASs;RSrSrsRSrsSrSs;rSrSrSSS;RSASRRRSSRSS;rRSssRARARrsRR;DrAsSRSRSS;RSsAs;RRSSSDSS;RARsrSrSSRss;DSSsS;r/RR/RR/Rr/AS/r.SSsS;Rrrr;ssSrrRsRSS;sAsrRDSs;ASrsRS;SAss;sRSSS;rSRSSS;rSDSsS.sRDRsssS;RRDr;AAsrRs;rSSAS;SRssrRSrrSAA;rrrssSSrrD;SSDrrSARrsARrsSA.SSSRA;SrSrss;SrRrSSSS;rrSSRSDSRSrsSrSrSS;rSSSrRSS;ssSS;DsASS;SRSRrSSA;SrSSRS;RSrrAsArRsSS;sRSSDs;RSrASrSRSS;R/AA/RS/Rr/Ss/SS/Ss/r,6-4 6(3)-7 6-3 1-6 7-6(6),1,R16,,04:29:26,,,,RUS,SRB,,
2017-02-03,18:21:14,World Group,Singles,Davis Cup,,Carlos Berlocq,Andreas Seppi,1,SssS;SRSSs;RRRsAR;SrssrS;rRrsSR;RsDrSSrsSrSA;rssrsrRASrSRrSRSSrrr.srASs;RrRSR;srSsS;ssrrSs;SrSrSRSrAs;sSSS;sDDSrSrSSrSRSrSS;rRrSr.SRrrSsSRArrR;srSSS;sSsrs;sRSSs;rSArRr;SSrSs;RsRrr.sRsrRSSRss;sSArs;SSSs;SSAS;DRASrR;SrAss;RDRr;rSsrRR;SrSSS;RRsRR;AARAs;sSsS;s/sS/RS/sr/Rr/Rr/SR/s,1-6 2-6 6-1 6(6)-7,1,R16,,02:57:09,,,,ARG,ITA,,
2017-02-03,18:35:31,World Group,Singles,Davis Cup,,Arthur de Greef,Alexander Zverev,0,SrRRSR;AASA;RSSSrS;sSAS;sSrsRS;SSRss;RsASs;ASRAA;RrRSAr.rsSsRS;Ssss;sRRAARsRsRsrDsDASS;SSSRS;SsSS;RSsSS;srRrSsAs;rsrSDSRR;AsSA.SrSSs;sArss;SRSRRsRSrssS;RRSsSS;RRSrR;ASAs;SSrsRrSRSrSS;DRASSS;SSRRsS;SrRsSs,6-3 6-3 6-4,1,R16,,01:43:34,,,,BEL,GER,,
2017-02-03,19:40:16,World Group,Singles,Davis Cup,,Roberto Bautista-Agut,Ante Pavic,1,DrSSsS;sAArDRArsrsA;RrSRsAsS;sSSS;SSSs;rASSS;rSssS;RRSSRr;DSRRr;rDrsSr.AsrSs;SRsrsrDSrSDr;srSsRrSs;sSSA;sAss;SSRsS;rSSrARss;RsRrASRR.SsrRrsSs;rSDrSSrSsS;SRRsAS;sDSSs;SRSSrRrsSRRsSs;RrRSssDr;srSsS;sSSrS;SssRs,4-6 2-6 3-6,1,R16,,02:04:03,,,,ESP,CRO,,
2017-02-03,21:09:08,World Group,Singles,Davis Cup,,Denis Shapovalov,Daniel Evans,1,sRrDR;sSSRrS;rsRsSRsA;sDDSss;rRSAsS;SDSsDRSrSs;ssSS;ssSS;SrSrrr.srSrSrAs;SArAs;RSRSsS;RSDsSrSrss;srRsSRrARSSS;rRrssR;SSsS;rSsAS;SrSSrRSS.srssA;SSSs;rsRDsSSA;DSSSRS;rrASArSA;rSSSS;rSAsS;SASS;ADrArR;SSSrS,3-6 3-6 4-6,1,R16,,01:50:33,,,,CAN,GBR,,
2017-02-03,22:11:18,World Group,Singles,Davis Cup,,Jack Sock,Marco Chiudinelli,0,SSss;RsSSrs;DSSrAs;RSSrSS;RrsSSRSs;SrSsS;rSsRSS;SSADA;rRssAA;rrDAssDSSRRSRR.sSSA;rSSrrr;RASAs;SSSs;SsSS;SSSDS;SSAS;SsSS;srRSSs.RRrssr;rRSsSRSA;RRSrR;rRARAssRsRrsrAsA;rSSRSRSS;sSrsRs;rSSrArDR,6-4 6-3 6-1,1,R16,,01:58:09,,,,USA,SUI,,
2017-02-03,23:33:24,World Group,Singles,Davis Cup,,Vasek Pospisil,Kyle Edmund,0,SsSrA;sDARSS;AssS;Ssss;RsRrsSsrSrAs;ASSrRS;srsAs;SrsSDS;SDsrSrRAss;RSrRsR.sSARrRsDsA;RDssDssrRAsA;ASSS;ArDsRr;rsARSS;SSrRRR;sASs.SARsS;srSss;RRSSsS;AAsS;rSrSSDss;rssAS;rsssA;SAsS;ssrSrS;ADsAS;DrSsSRsS;DRSASrsA;s/sS/Sr/SA/Ds/S,6-4 6-1 7-6(3),1,R16,,02:08:10,,,,CAN,GBR,,
2017-02-03,15:14:35,Group I Americas,Singles,Davis Cup,,Nicolas Jarry,Jose Hernandez-Fernandez,1,srRSss;RRSSSS;rrSssS;Ssss;sSSrS;sSrRrR;RSsrSS;SRSSrS;SssS.SsRRsA;ssRRSS;SsRsrs;SSsrRRRr;SSRSS;SrAsS;rRRSSr;SRrRAsSs;ssSs;ARssA;RRrR;ASSS.rRssRsSS;SssA;SRrSDR;SSRSA;DSSsS;SrArAs;RRSrR;SRSRAs,3-6 5-7 2-6,1,QF,,01:47:40,,,,CHI,DOM,,
2017-02-03,16:44:54,Group I Americas,Singles,Davis Cup,,Emilio Gomez,Juan Pablo Varillas,0,SrSRsA;RrSrR;SsArDRSS;SSRSS;DSssRs;RSsss;rRSSsS;ssRDsS;SsrsrA.SrRRsSSrSrDr;ArARrSrSrSSS;SRSRsrSRSrSRsDrr;rSSSRrSS;rrsRr;sSrSA.RSsSS;RSrsSs;rsSSS;rSSss;RSSss;rRRSAR;RrrSsr;SrASs;SSSRrS;RSSss;ssSRrS;SsSRDS;s/SR/SD/Rr/sR/SS/s.sSRSS;SrsRsS;SsArS;RSRsSrSS;rRSrAR;rArssRsRsS;srsDARRD;RSSAs.RsSsS;SSss;SSSDRS;sSRrsRRR;SrsRRsAS;RSSSS;ASSS;RDSrSAsA;SsRDSs,6-3 6-0 6(5)-7 2-6 6-3,1,QF,,03:36:07,,,,ECU,PER,,
2017-02-03,17:35:11,Group I Americas,Singles,Davis Cup,,Roberto Cid Subervi,Christian Garin,1,sSSS;SSsS;rsSsDrSRRSrssRsRRSRD;ARSSrRsS;DSSSrDrSSRRD;SRSSrRrR;sRssDDSs;sASRS;SSrSs;ssrRSRSRRr;RSSSs;rrSARr.SRRDR;rsSDsS;sSARrS;SADDAS;RDrr;ssRSS;rrrsr.sARsS;RSRSSS;rrrR;RDASDD;SsSS;rRsRSR;rSsRSrrsrsSS;srrDsr.SSss;RSSSS;ssss;SrRDsR;SSSRrs;SSrRSs;SSSRRDSS;rssrRr,7-5 1-6 2-6 2-6,1,QF,,02:45:10,,,,DOM,CHI,,
2017-02-03,20:54:25,Group I Americas,Singles,Davis Cup,,Mauricio Echazu,Roberto Quiroz,0,SrSSS;SrsSRA;rrSSSS;rSrrSR;SSRSA;SrSsrS;SRsSS;SSSRrDSS;RRSsRSSRRr;RsRSSs;SsRSRS;RRDSAR.RSsRSS;RsrsSS;RsSRSS;SRRsDSAS;SRsDSS;SrssRs;rsSsS;RsSrSS;rSSrRr;sSARrrAs.RRSSRR;ADSsDs;SDSSs;SSss;SRRDSR;SSSA;RRrD.SRsRSs;srRrR;SRAss;SsRSS;SRrsSS;SSSRRRSS;SARrSs;SSSS;SsAA,5-7 6-4 6-1 6-3,1,QF,,02:46:32,,,,PER,ECU,,
2017-02-03,3:02:26,Group I Asia/Oceania,Singles,Davis Cup,,Sanjar Fayziev,Hyeon Chung,0,SSrSS;rSsSrA;rsSSRS;rDSsSS;RsDsSRSRSS;DSSRsA;ADsSS;SSSS;rrSrr;SASRS.SRRSrssrSrsS;RSSAs;RARSSS;SSAs;SRsSRRSS;SsSS;SsSS;RRASSs;sSrSRRSRsRrD;SSAS.sSsRs;RSSrDr;ARASs;sRSDss;SrDRsR;SSDSS;srSsA;rRSsSA;sRSrSrSA;SSDDSs;SrARsS;RSrSSS;s/sR/ss/AS/AS/SS/s.RRASSrsRDSRR;rSSSRS;DrsRr;AsArS;SRDDsSSS;SsSDs;SARDSrAS;SRRrAD;RsRsSRrSsS;srSrsrAA.rSRSSS;rrsRr;DSsAA;SrSSrRsRrsSrRR;SsArS;rDRR,6-4 6-4 6(5)-7 4-6 6-0,1,QF,,03:29:55,,,,UZB,KOR,,
2017-02-03,13:20:12,Group I Asia/Oceania,Singles,Davis Cup,,Ramkumar Ramanathan,Jose Statham,0,srSsS;SrSSs;rSSsA;RSsRsrrr;SrSDAS;ssSs;sSAS;sASS;SssRA.RSSrSs;DsrSsDsA;SSSS;RRDSSssRSA;rRSASS;SSsDRA;SRrSRSrr;RDSsAS;sSSs;ArSSrA.SRrSSRSRSS;DSSrsDAs;sAsrRS;rsArAs;RSRRSR;RSsss;rDsssS;AASs;SRSrrR,6-3 6-4 6-3,1,QF,,01:52:38,,,,IND,NZL,,
2017-02-03,9:08:11,Group I Europe/Africa,Singles,Davis Cup,,Ilya Ivashka,Adrian Ungur,1,rrrSR;SSsrS;ArrRr;RRSSSRsrRr;ASrSs;SssS;RsRSrD;SRAsDS.SssDrs;SSSRS;ArDAsRSDSRSS;SRRsRSSDrSSs;sArSS;SSRSS;ArAss;srSSRs;SssS;RDSSSs;SSRRSS;ArSrrSRSSrRR.rRASSA;RSrRSsSRss;rSsRSS;sSrRSRss;SrRDr;RSSSRs;SArrARSs;RRsrR;rsRSSs;SSrSrS;rsrrr;RSSRRSrSsS.SsSrA;SRSSs;SrSsS;ASSA;DSrSSS;RSSRSRSs;RsrsRSSA;SsSRS;rArSRR;ssARS,2-6 7-5 5-7 4-6,1,R16,,03:05:16,,,,BLR,ROU,,
