date,start_time,tournament,type,tour,draw,server1,server2,winner,pbp,score,adf_flag,round,surface,duration,status,server1_age,server2_age,server1_ioc,server2_ioc,server1_rank,server2_rank
2017-02-06,18:45:43,Federation Cup,Singles,Federation Cup,16,Catalina Pella,Daniela Seguel,1,SsSS;sSsS;DsSrSRsRSS;RSSSDs;DRRr;rSRSSRSS;DSSRsS;sSss;SsRrRR.SSSS;SSSs;SSSs;SSRss;SsRSs;RRRSR;RSrrr;SsrSS;SSSs;sRRRR,3-6 4-6,1,,,01:05:39,,,,ARG,CHI,,
2017-02-06,20:27:17,Federation Cup,Singles,Federation Cup,16,Teliana Pereira,Mariana Duque-Marino,1,DSRsrR;SRSrrSRR;SsRrrSrSSRrR;DssRrRRR;SsrDrr;RRSRD;RsRRr;RRSrSR;rrSRR;RSSRDSSS.SRSrRR;SRRrSsSRsRRsSRsS;sSSrRrSrDR;rRSDSr;RrRD;RRSrSSRsSs;ADSrrD,4-6 1-6,1,,,01:19:38,,,,BRA,COL,,
2017-02-07,18:42:14,Federation Cup,Singles,Federation Cup,16,Mariana Duque-Marino,Catalina Pella,0,rSDssS;RrSRR;RRsSrD;rDRR;SsRRsrSrSS;SrRrr;sRRsDsSS.rsSRRr;SRSRRsDSSrSs;sDRSRSrr;SRRssrrR;RsSSs;rSSRDR;RSDRSSSA;SrrrsR;rSSSS.SRsSrs;RRrSSSSs;rRSrr;RADSrR;SSrDRSSS;rRSDSSRR;RRRr;sRrSrR;rRSsRSSDrD;RsrRsSRSrsRssrSRDSSRss;RSSsS;SDSsRRSS;R/SA/SR/ss/R,1-6 6-3 7-6(1),1,,,02:15:37,,,,COL,ARG,,
2017-02-07,18:56:03,Federation Cup,Singles,Federation Cup,16,Noelia Zeballos,Veronica Cepede Royg,0,RrDR;RSASDRSDRsrsSDsS;rRsDR;SsSrRS;DRSSRR;sDSss.DRDR;sRSsS;sAsDRrss;SSSs;SrSSrs;SrSSS;DSsSs;rsSsS;SrSDRsSRSrSS;ssrARs,6-0 6-4,1,,,01:00:41,,,,BOL,PAR,,
2017-02-07,18:56:18,Federation Cup,Singles,Federation Cup,16,Bianca Vanessa Andreescu,Andrea Gamiz,0,srSSS;SRSDSS;SDRArSrR;DsRsSS;SrSSrS;sSrRSrrSSRRSRSsS;rDSrsSsRrSsA;SRDDr;sSSRRS;RSSSrRRr.RRDSsSSA;RRSrr;DSssS;DRRR;SRSRRSAS;rrrsssDSRSrR,6-4 6-0,1,,,01:15:02,,,,CAN,VEN,,
2017-02-07,20:19:46,Federation Cup,Singles,Federation Cup,16,Teliana Pereira,Renata Zarazua,0,RSRSRr;SSSS;DssSRRrsSS;RSSSRRSDrSSS;ssSs;RSRSRR;SsSS;SSRrSS;RSRSRR;RRARSsSDSRSs.srrSRSRSDSSS;RrrR;sSss;RSRRR;rSSRRSSDRD;SrRRSssA;ssDRRSSrSRDSSS;ssRrSRSS;RRSSsS.RRRr;rSsRSS;SDsRrSSrsRSs;rRRR;SSSrS;DSSRRsRSsS;RrRR;sSDSS;RRSRR,4-6 6-3 6-3,1,,,02:13:56,,,,BRA,MEX,,
2017-02-08,10:30:15,Federation Cup,Singles,Federation Cup,16,Michelle Larcher de Brito,Johanna Konta,0,Rrrr;RsrSSA;sssRRS;RSASS;SDDRr;SRsrSs;SSSRRRDSSDSS;sSrSs.sRsRSRsDSS;rASRSS;rRsSSS;rRAsRAsS;SsrrSrSS;SArSDDAA;rsrRR;RRSSRArSsS;Ssrrss;SArSS,6-2 6-4,1,,,01:19:13,,,,POR,GBR,,
2017-02-08,10:44:13,Federation Cup,Singles,Federation Cup,16,Dea Herdzelas,Ana Konjuh,0,RsrRsR;RArsSA;RSSrrsRR;RsSsA;DRSDR;SSDSS.SSSDRrSrSrSRrsRD;srsDsRDD;sSSS;sssDRRrssS;Rrrr;RASSrS;sRrDSr;rrSAss,6-0 6-2,1,,,00:54:06,,,,BIH,CRO,,
2017-02-08,11:19:32,Federation Cup,Singles,Federation Cup,16,Cagla Buyukakcay,Jelena Ostapenko,1,RSssRRsS;DrSssS;RrSrSSrr;srrSrSSS;SrSRRSSRRr;rRSRD;SSRRRR;DrrAsSARRr;RSSsS;srRDsD;sSSS;ssSs;s/SS/RS/SS/SR/Rs.srRrsr;RSSrRSSRRr;srssRS;ASRsS;SSDrSs;RRrssSSRRR;SSRSs;RSSrsS;SDDrR;AssRS;RSRrAr;RSSSs.sSsDS;RRSRsSRsSS;ssSDS;sDSsRS;SSsS;SRSSRrRSRR;SsARA;RSSSRRSs;SrSsrS,6(4)-7 7-5 3-6,1,,,02:37:36,,,,TUR,LAT,,
2017-02-08,16:03:25,Federation Cup,Singles,Federation Cup,16,Viktoriya Tomova,Deniz Khazaniuk,1,SSRSS;RRRSR;RrSsSS;RrrsR;SRsSRRSRrsRR;RRssSRSS;SsrRRSRr;RSsSRrRSRSSRRR;rRARR;SsrRRr.SRARSRSRRSsA;SrRsSs;SRASRs;SSSS;Rrrr;ssRRDSRsRsRR;SRRSRSRr;RRRSR;sssrS;SSsS;rSSArRSRrR;SsSDS.RSssrS;RsSSRS;ARDssS;RARrR;RrsrsR;RRRSR;rsSRsrSRSS;RrRr,4-6 7-5 2-6,1,,,02:35:17,,,,BUL,ISR,,
