date,start_time,tournament,type,tour,draw,server1,server2,winner,pbp,score,adf_flag,round,surface,duration,server1_ioc,server2_ioc
2016-05-05,10:04:01,Santa Margherita Di Pula,Singles,ITF Women,32,Schena Benamar,Camilla Scala,1,SRrSrSsS;DsRRSSSRRSrSRr;sRsrrr;SRsRrSRSSS;sSSS;SSRRRSRR;DSsDRR;RSSSRS;sRrRSD;SRrSsS.RSrSsS;SrrRR;ArrRSR;rRSDSr;rSsSRDsRSrsRrssRrD;SSRsRS;ASrSrRSS;RsrSsS;RRSSDR;sSSrs,4-6 4-6,1,R16,Clay,01:30:14,FRA,ITA
2016-05-05,10:06:35,Sharm El Sheikh,Singles,ITF Women,32,Anette Munozova,Naomi Totka,1,SRSRSS;RSSRRSSS;RSsRSrRSRSsS;SRRSRAAS;ARRRsR;SAsRRS;RSSSS;SSSS;RRSRSR.SSSS;RSRRR;RSRRR;SRsRDSRSRr;sSARRRRR;RsSSs;SSAS;SSsRS;SsARS;SRrRR,3-6 4-6,1,R16,Hardcourt,01:12:27,SWE,HUN
2016-05-05,10:08:05,Sharm El Sheikh,Singles,ITF Women,32,Jaqueline Adina Cristian,Maria Zotova,1,SSSS;SSrSDS;ssrss;SSSS;AASS;DRSDR;sSss;RrsRSSRSRR.RSSSS;SDRRR;SsrsS;RSRrR;SrSsA;RRSSRSsRsRRD,2-6 0-6,1,R16,Hardcourt,00:47:36,ROU,RUS
2016-05-05,10:08:10,Sharm El Sheikh,Singles,ITF Women,32,Samantha Murray,Helene Scholsen,1,DsSSS;RSRrSsSS;SRSSS;RSRrr;DRSSSDSDSS;DRsDSR;sSsS.RSRSRSRR;SSAS;DSDSRSRR;SSSRS;sDSSS;ASRAS;SRRrSR,1-6 1-6,1,R16,Hardcourt,00:44:59,GBR,BEL
2016-05-05,10:08:47,Santa Margherita Di Pula,Singles,ITF Women,32,Anastasia Chikalkina,Federica Arcidiacono,1,SrDrsr;rSRSSRrR;SsSDRS;sSrSrrSRRR;RDSSRR;RRSrsR;SsDSRS;rSSrSS;SsrRRR;RSsSRRRR.RSSRRR;rRSSSRSS;RrSSRR;RSsrRD;Drrr;SDRSRsSRSS;RRRD.RRSSss;rRsSSs;RSRSsDRsRSDSRR;ssRrDSrR;RRRSR;RSSSrrSs;sRSSS;SRDRR;RSRRR;RSDrR;srRRR;DSrSSRSRrsRR;R/RS/RS/Ss/RS/S,4-6 6-1 6(3)-7,1,R16,Clay,02:32:26,RUS,ITA
2016-05-05,10:08:56,Sharm El Sheikh,Singles,ITF Women,32,Despina Papamichail,Nidhi Chilumula,0,RSRSARRSrSDSsS;SSrSs;SSSS;SSRSRRSRsS;SDASDS;sDSss;SRRSsRSA;SsrsrRRSRSSrRsSDSS;SrssRrSDDSss;SrrRssSRDSRsrsSS;SRDSsS;rRRsAR.SrSSs;rrrSr;SrSRrSsrsrSs;RRrSR;AsDrSS;Rrrr,7-5 6-0,1,R16,Hardcourt,01:41:35,GRE,IND
2016-05-05,10:09:16,Santa Margherita Di Pula,Singles,ITF Women,32,Gaia Sanesi,Anna Turati,1,RRRR;srsSs;RRSrR;DsRsrsDSDR;rSRRSSRR;SSrRSS;SRrRR.RSSSS;RSrSRR;rsrSrSsS;RSrDSR;SSRRsRsrrsSS;rSsRSRrr,1-6 0-6,1,R16,Clay,01:19:42,ITA,ITA
2016-05-05,10:09:59,Santa Margherita Di Pula,Singles,ITF Women,32,Tess Sugnaux,Naima Karamoko,0,DSsSRrRSsRss;ssss;SSRRSs;SRrRsR;RSDDSR;RRRR;SsSS;SsRSs;SRSsDRSS.SSSRS;rSSrsRsRss;sRRRSSrSSrrSRr;sSSS;SRsRRSrR;sSsS;sSrSrRSs;SRsDsS,6-3 6-2,1,R16,Clay,01:34:44,SUI,SUI
2016-05-05,10:11:13,Bol,Singles,ITF Women,32,Alexandra Morozova,Manca Pislak,1,RSRSSs;SrSSs;SSSS;SsrDsS;ssSS;rAsRRR;rSSRSRsRSRsS;sDsRsS;RsDSSrrSSrSRRSRSRsSs.SRsRSRSA;SDRSAS;SRRSDssDSS;SDSrsRrR;SsSRrRRssRrR;SSSS;sRSSRRSRSS;SRRrR;RSsSS.RRRSr;DrRR;SRsDRSRSSRSS;rRSSSRrsSA;DsrrR;RRRD;SSRRRR;ssSRrrSRsrSRrR;RSSRSrSS;rSSSRRsRSs;RARsrr;RrrSsR;R/DR/Ss/SS/DR/SR/Sr/S,6-3 3-6 6(6)-7,1,R16,Clay,02:57:01,USA,SLO
2016-05-05,10:11:36,Bol,Singles,ITF Women,32,Dasha Ivanova,Melanie Stokke,0,rSrASS;SSDSRrSA;RRRr;sSrSS;SrRSss;SSrsS;SDSSRrRR;sRsSS.SDssDrRARr;RRsRSsSS;RDsRSr;SRsRRR;srRsSS;RRsSSs;RSsDSRRSsRrr;SSRRSRsS,6-2 6-2,1,R16,Clay,01:13:53,USA,NOR
