date,start_time,tournament,type,tour,draw,server1,server2,winner,pbp,score,adf_flag,round,surface,duration,server1_ioc,server2_ioc,server1b,server2b,server1b_ioc,server2b_ioc
2016-06-05,13:10:42,Bol,Doubles,WTA 125K,16,Xenia Knoll,Ioana Raluca Olaru,1,RRSSSS;rsrrSss;SsRsS;rSSSRS;DSRSSs;SDSDrD;SsSs;SrSss;RRSrASS.SSRRrsr;sSSRS;SrRrSSr;SrSRDr;RrRSR;SRrRsSS;RrssSRs;SrSRSs,3-6 2-6,1,F,Clay,01:15:47,SUI,ROU,Petra Martic,Ipek Soylu,CRO,TUR
2016-09-08,11:28:36,Dalian,Doubles,WTA 125K,16,Misa Eguchi,Nicole Melichar,0,rrSsDSR;sRSSrA;SsRrRr;rSRSDSS;rSsSrs;SRsSs;RSSRsS;DrSRR;SRSRSRS;SRSSrS.DSsSRRS;SsSS;SRRsRr;RsrsrR;RSrrsSS;SDsSS;SDSSS;sSSRS;SrRsSS;RARSSS;SSRSRS;RsRASS;R/SA/SR/rs/RR,6-4 7-6(2),1,R16,Hardcourt,01:20:20,JPN,USA,Hiroko Kuwata,Alicja Rosolska,JPN,POL
2016-09-08,13:05:18,Dalian,Doubles,WTA 125K,16,Tatjana Maria,Aleksandra Krunic,0,RRRSR;SSSRRRS;RRsrr;SRDSSS;SRSDRD;RSrsrSr;sSRsRS;RSSSS.SSsS;RSrSrR;SRrSsS;RrDR;rrrSSSS;RsSRRSR.R/SR/SR/RS/DS/RR/rR/rS/SS/Ss/r,6-2 0-6 11-9,1,R16,Hardcourt,01:03:59,GER,SRB,Ipek Soylu,Yuenu Li,TUR,CHN
2016-09-09,12:04:20,Dalian,Doubles,WTA 125K,16,Ya-Hsuan Lee,Aleksandra Krunic,0,SRSrRr;SSRsrs;SSRsrs;SSRSrRS;sSSrRrs;rSRRSD;RSsSrS;RDrR;DsSsrS.sRDRR;SrSrss;RSSSRRS;SrSSRs;SRSSRRS;srRSSS;SRSSRRS;sssRs;RrSsSS;sRRSRSs,6-3 6-4,1,QF,Hardcourt,01:10:28,TPE,SRB,Kotomi Takahata,Yuenu Li,JPN,CHN
2016-09-11,10:33:28,Dalian,Doubles,WTA 125K,16,Nicha Lertpitaksinchai,Ya-Hsuan Lee,1,SrSRRR;SSsrS;RrRr;sssS;SSSs;RsSss;sSrADs;rsrRsSS.SRRSSRr;SRSSS;SRssRS;RSsRSS;RSRRSR;RrSsSS;SrSRRSR,2-6 1-6,1,F,Hardcourt,00:54:04,THA,TPE,Jessy Rompies,Kotomi Takahata,INA,JPN
2016-11-18,11:10:39,Limoges,Doubles,WTA 125K,16,Anna Smith,Valentyna Ivakhnenko,1,sSDRSRR;rRSRSR;SSRSS;RRrD;SSSs;SRSrRR;RRSsDR;DRssSS;SDRsrr;SSRsS;SSRSs;RSRsARr.RSSRRR;DsRsSRA;RDrR;SRSRSs;RSDRSR;rSsSRRR;rRRSD.S/RS/SR/RS/SR/DS/rR/sS/r,5-7 6-1 6-10,1,QF,Hardcourt,01:16:48,GBR,RUS,Renata Voracova,Lidziya Marozava,CZE,BLR
2016-11-19,14:40:31,Limoges,Doubles,WTA 125K,16,Lenka Kuncikova,Elise Mertens,0,RSARrr;RRsrSsR;SsRsS;SDsRrAs;rSrSRR;SSSA;SDSrDSR;rARSSS.SrSrSRD;rDSRSsS;srsSS;SrrRD;RSSrSS;RSSrSS;rrSSRR;SSSRRs;rsDSrD,6-2 6-3,1,QF,Hardcourt,01:00:26,CZE,BEL,Karolina Stuchla,Mandy Minella,CZE,LUX
2016-11-20,17:20:28,Limoges,Doubles,WTA 125K,16,Anna Smith,Elise Mertens,0,SRSRrr;SsrsRs;rssrSS;DRRAD;rRRSSr;SSSrS;SRRRSR;Srsrrr;sSrRSs;SRssS.SSRSs;SrRSsS;sSSrS;SSSRrA;RrRr;rsrrSSS;sSRSs;rSSsRRS;RRAsSRS;rsRsrAs,6-4 6-4,1,SF,Hardcourt,01:14:17,GBR,BEL,Renata Voracova,Mandy Minella,CZE,LUX
2016-11-25,1:42:36,Honolulu,Doubles,WTA 125K,16,Jacqueline Cako,Hiroko Kuwata,1,RRRD;SrsDSS;AsSs;RRDSR;SRrAsA;RSSAS;sRSRSRR;SSSrS;SASS;RrSrSR;SSSRS;SRDRR.SARRSS;SSSS;SrSDSS;SRsSRS;sRSSRRs;SRRSADS;SsSS;SsRRSRs;DDSSsS;sSsS;RSSRss;DSSSS;S/SS/Sr/rS/Rr/S.R/SS/DS/SS/rR/sS,5-7 7-6(3) 1-10,1,R16,Hardcourt,01:39:31,USA,JPN,Akiko Omae,Jamie Loeb,JPN,USA
2016-11-25,3:39:48,Honolulu,Doubles,WTA 125K,16,Ingrid Neel,Nicole Gibbs,1,sRSsS;SrSSS;SrSRSs;RSRSrsS;SrSRsrR;RRARSsS;sDRSRsR;SSRRSS.rRSssS;SSRRRSS;rRRR;rRSRSr;DSSAs;SRSRSRA;SsRrsRR;SrrRD;ARrsSRR;SRRrSR;DRSSrR;sRRSSS,2-6 5-7,1,R16,Hardcourt,01:20:47,USA,USA,Fanny Stollar,Asia Muhammad,HUN,USA
