date,start_time,tournament,type,tour,draw,server1,server2,winner,pbp,score,adf_flag,round,surface,duration,status,server1_age,server2_age,server1_ioc,server2_ioc,server1_rank,server2_rank
2016-06-01,12:12:48,Bol,Singles,WTA 125K,32,Anna-Karolina Schmiedlova,Kristina Kucova,1,RRRR;SDrssS;SRSDSRDR;srRrSR;SSsrRRRR;sDSDsRRR;sDSSS;RRssSRSRRSSRSs;RSSSRS;SSRSDrSS.RRRSR;SRSss;SsDRSRRR;RSDRSsRSsS;rRRr;SRsSs,4-6 0-6,1,R32,Clay,01:22:57,,,,SVK,SVK,,
2016-06-01,14:00:12,Bol,Singles,WTA 125K,32,Polona Hercog,Petra Martic,1,rSsAs;DSSRRSRR;sRrRR;RRRSD;Sssrs;SRRSrR;RRSrSr;RSSSDrRsDSSRRr.RSrDr;RSRrR;SSSDS;SRSRrSsRrR;DRSSSRSDRssRrSDSRSRsSS;SSSRS;SSrrRR;SSRss;Rrsrr;RSDRsSss.SSRsS;RSRrSR;rsRSsS;RSSSRRRSSS;SssRrRrSSrSrRSSRAS;SRrRD;ssrsRS,2-6 6-4 1-6,1,R32,Clay,06:17:02,,,,SLO,CRO,,
2016-06-01,20:36:18,Bol,Singles,WTA 125K,32,Grace Min,Ana Konjuh,0,RDRR;rrrR;DSSRArrR;SrASs;RRSRSR;SAsrRrSs;DRSRR.sSrsRs;SSRRRR;ssAA;RSSSs;DRDR;RRDR;SssrA;ssDSS;Ssss,6-1 6-3,1,R32,Clay,00:51:00,,,,USA,CRO,,
2016-06-02,14:12:05,Bol,Singles,WTA 125K,32,Elitsa Kostova,Polona Hercog,1,rSSsS;RRSsSS;SRRRR;SsSrDS;DrRr;SRrSSrsS;RSSRRR.SsDRSS;RrSrSSRr;sRAsRrSS;RSRsDSrR;SSRRSs;RSsSRrsRRR,1-6 0-6,1,R16,Clay,01:05:06,,,,BUL,SLO,,
2016-06-02,15:33:56,Bol,Singles,WTA 125K,32,Ipek Soylu,Ana Konjuh,0,RrSSDD;rDSsRARsrsrsRsSs;RsSDRSRD;rSSSS;sSrRSs;sRrsDR;SRSrrR;RSSAA.RsRSrR;SSSDA;rDDSSSSS;SRrSSRsA;RRDSSR;DsRSSrSDss;SDSRrSSRRD,6-2 6-1,1,R16,Clay,01:07:52,,,,TUR,CRO,,
2016-06-03,12:13:05,Bol,Singles,WTA 125K,32,Stefanie Voegele,Nao Hibino,0,sRsrDR;SssRDS;ssSrs;SSSrRs;rRSrSsSs;sRsSS;SRsrrR;SRrSss.Ssss;ssSS;SrrSrr;SsSs;ssRrrD;SSrRrR;ssrRrr;SSSS,6-2 6-2,1,QF,Clay,01:06:53,,,,SUI,JPN,,
2016-06-03,14:09:07,Bol,Singles,WTA 125K,32,Marina Erakovic,Mandy Minella,1,SsRSA;ssSs;sSAS;sSsDs;SSSS;SSrRSRSS;SSSS;SSrsrS;SDDsRSrR;rsSRRSRr;DSDSRSrsRSrSSRrsrR;sRRRsSRssS.SrrSSs;sRRrSSSS;rSDSRR;DSSSS;SsSs;DSDRr;RSDRR;SrrSSs;sSsS;RrsSsS,5-7 4-6,1,QF,Clay,01:38:14,,,,NZL,LUX,,
2016-06-03,17:37:13,Bol,Singles,WTA 125K,32,Ana Konjuh,Tereza Mrdeza,0,SSSs;sRSSS;rssss;DRRr;SSrsS;SSrRRSRSDSsDsS;RDSRr;RRSSRR;RsSSS.sRSsS;rRsrsR;SRSsS;sRSsrrSs;srrSsS;SsrsS;SSrRRSRR;SsrsRs;SDSSrS;SSSrS;RSSSS;SsSS;R/Rs/RD/Sr/SS/RS/r,6-3 7-6(5),1,QF,Clay,01:29:28,,,,CRO,CRO,,
2016-06-04,13:41:47,Bol,Singles,WTA 125K,32,Polona Hercog,Nao Hibino,0,RsSADS;RRSsRsDr;RsSSS;DRrSR;SrSSRRsRSS;RrSRR.rSRSSS;SSRRRR;ASAS;SSrrss;RSRSSS;SRSSrRSS;SssrrS;SRRRR,6-0 6-2,1,SF,Clay,01:01:32,,,,SLO,JPN,,
2016-06-05,15:38:37,Bol,Singles,WTA 125K,32,Mandy Minella,Polona Hercog,1,sRrSss;RSSrSrsRRr;SRRRSr;DSARrsSrRr;SsrSrs;rSrssDrssS;SSrsDS;SsrsRDDR.rSsrrSRR;SASrRA;rSSSS;RrSSrR;rSSSS;sRrrr;SRSRRR;RRrR;SSSRS,2-6 3-6,1,F,Clay,01:23:35,,,,LUX,SLO,,
