date,start_time,tournament,type,tour,draw,server1,server2,winner,pbp,score,adf_flag,round,surface,duration,server1_ioc,server2_ioc,server1b,server2b,server1b_ioc,server2b_ioc
2016-05-17,14:01:03,Strasbourg,Doubles,WTA,16,Georgina Garcia Perez,Maria Irigoyen,1,srrASrs;RARSsS;RRRR;DSSSS;rrSRr;SrDsRSR;rSSrRr;sSRArS.rAArARR;SDSSS;SSRRrSS;SRSRrsR;rRrSAr;RSrSrR;SRRSsRr;RSSRRSr;rSSsDA;sSsRrs;RRSSSRs;sSss;s/rR/sD/sS/SR/SS/R,2-6 6(5)-7,1,QF,Clay,01:23:24,ESP,ARG,Eva Wacanno,Chen Liang,NED,CHN
2016-05-17,15:43:30,Strasbourg,Doubles,WTA,16,Anabel Medina Garrigues,Gabriela Dabrowski,0,SSRSrRs;RRRR;RSDsSRs;SSRSS;RSrSRR;SSSS;ssSDrS;sSSrS;SsRrss;RSSSrS;RrSSSS;rSsrRR.rSSSS;SRssS;sRrRR;SsRSS;SSsS;SSRsRRR;SsrsS;SSSrS;rSSRRsR;RrSrr;rSSrSRR;RRRSSSR;S/RS/SS/sS/SS/R,7-5 7-6(3),1,QF,Clay,01:40:13,ESP,CAN,Arantxa Parra Santonja,Maria Jose Martinez Sanchez,ESP,ESP
2016-05-18,14:18:25,Strasbourg,Doubles,WTA,16,Nicole Melichar,Chia-Jung Chuang,1,SrsRDAS;SrSSRs;RSRRAr;SrDSSS;rSsRSRS;RRRR;SSRSS;srSsRs;SSrAS;SSSS;sRSsS;SsrSS;s/sS/SS/DR/SR/D.SSSs;srsRSS;RrsRsSS;RrSRR;RrSSrSR;SSSrRS;SRSrSRr;rRSRr;SrsSS;SsSs;rrrSSR;SRRRR;s/rR/RR/sR/sS/SR.R/RS/SR/Sr/Sr/Sr/rR/sR/Ss/S,7-6(3) 6(4)-7 8-10,1,QF,Clay,01:57:57,USA,TPE,Alicja Rosolska,Darija Jurak,POL,CRO
2016-05-20,17:59:11,Nuremberg,Doubles,WTA,16,Shuko Aoyama,Natela Dzalamidze,0,RDRR;RRRR;SSSS;RSSSS;SSRSS;RSsSs;RSSsRRS;RRSRSSS;RDsSRR;SSsrS.SRSSrS;rRSrR;rSSsRRS;DSsRArs;SSsDS;rSSSDS;sSRSS;RrRSR.S/sS/SR/Sr/RS/DD/sR/SS/SS/Ss/SS/R,4-6 6-2 12-10,1,SF,Clay,01:11:59,JPN,RUS,Renata Voracova,Veronika Kudermetova,CZE,RUS
2016-05-21,15:29:56,Nuremberg,Doubles,WTA,16,Shuko Aoyama,Kiki Bertens,0,SsRsRS;RsrsSS;SSRrSRS;RSSSS;ssss;SSsS;RRRR;SSss;RRSRSSr.SASS;RSRRsR;RrSsRr;rSrSsS;RRSSRr;SRRDR;sSSS;rsSSS;SSrRSs;SDSrrr,6-3 6-4,1,F,Clay,01:03:42,JPN,NED,Renata Voracova,Johanna Larsson,CZE,SWE
2016-06-03,17:22:22,French Open,Doubles,WTA,64,Caroline Garcia,Margarita Gasparyan,1,RrSSSS;SSRsRS;RSrRSsSS;sSSDrS;SSSS;sSsrDRSS;SRSSS;rsRsSS;SSsA;RSSrRSrD.RRSSSRRR;sSSRS;SrDRr;SSSs;sSRrSRSS;SRrSRsrr;RDSRSSRsDR;RSSrRSRSsRrR;SSSs;rRSSrsSRSRSRrSSs.RSSrSRSs;RRSRSSRsSRsRSS;sRsSs;RRSSSS;SRrrSsSs;SSSrDS;SSsrs;SrRSRR;SrSSs,4-6 6-4 3-6,1,SF,Clay,02:14:07,FRA,RUS,Kristina Mladenovic,Svetlana Kuznetsova,FRA,RUS
2016-06-05,11:41:51,French Open,Doubles,WTA,64,Caroline Garcia,Ekaterina Makarova,1,SRSsRrSrSRsRSS;RSSRRR;SSAS;RsSSRrrR;sSsA;SRrRsASS;rRRr;SSrRSRRSsS;sRSSrrSRSS.DRSssRSS;sRrRR;SRRRr;rRsRsR;sSsA;SSRRSS;SrSrSS;ArrrSr.RSRSrr;RrSsSRsRSA;rRSASs;rRRD;sRRSSS;SSrss;SrrrSSrSrAsS;sSSRS;RrrSR;SSRSs,3-6 6-2 4-6,1,F,Clay,02:05:48,FRA,RUS,Kristina Mladenovic,Elena Vesnina,FRA,RUS
2016-06-13,15:26:40,Mallorca,Doubles,WTA,16,Eugenie Bouchard,Jelena Jankovic,1,RSSSs;SSRrSrs;SRssS;SRDsRR;srrrAR;SsrrSRr;srRRSR;SSsS;sSrsS;RRSSrSs;SrsrSA;SSsrS;S/sR/rD/sR/Rs/Ss.sArSS;DSRSRSS;SrDssrr;DSDsSS;sSSs;RSsRAs;ssRSA;DRsrr;RSRRsSr;SASs.S/sS/SS/SS/SS/SD/SR/rS/SR/Ss/SS/SR/RR/rS/SS/sr/S,6(4)-7 6-4 15-17,1,R16,Grass,01:53:08,CAN,SRB,Sabine Lisicki,Aleksandrina Naydenova,GER,BUL
2016-06-15,16:41:09,Birmingham,Doubles,WTA,16,Kateryna Bondarenko,Hao-Ching Chan,0,SSRSS;rSsSS;RRSrSR;rSsRRr;SSRSRS;SSSRRS;rrssSS;SRrsRsS;rsrSRR;rSSRsrS.SrRSSs;SRsRSS;SSRSRS;SssS;SrSSS;SRsSRS;srSsrS;RRRR;rRSDSSR;RSSSS;RrSRr;rsRsRr;S/sS/SR/Rr/rR/RS/r,6-4 7-6(5),1,R16,Grass,01:36:53,UKR,TPE,Olga Savchuk,Yung-Jan Chan,UKR,TPE
2016-06-18,16:40:59,Birmingham,Doubles,WTA,16,Hao-Ching Chan,Vania King,1,SSSS;RRSDSSs;SRrSss;SSSS;ArSSrRR;ARrSSA;RSRrsr;SRSSS.SrSsS;sSRDSs;RSRrR;RssSs;SSrDRR;sSsS;sRSrSrr,2-6 1-6,1,SF,Grass,00:58:30,TPE,USA,Yung-Jan Chan,Alla Kudryavtseva,TPE,RUS
