date,start_time,tny_name,tour,draw,server1,server2,winner,pbp,score,adf_flag,round,surface,duration,status,server1_age,server2_age,server1_ioc,server2_ioc,server1_rank,server2_rank,server1b,server2b,server1b_age,server2b_age,server1b_ioc,server2b_ioc,server1b_rank,server2b_rank
2012-05-29,11:15,French Open,WTA,Main,Gisela Dulko,Darya Kustova,0,SSRSRRS;RRRR;RSRRSR;SRRRR;SSSS;SSSS;SRSSS;RSRRR.SSRSRRR;SRSRSRR;RRRR;SRRRSR;RRSRR;SRSRSRR;RRRSSR;SSSS;RSSRSS;RSSRSRR;RSRRR;RRRR;R/SR/SR/RR/RS/RR,6-2 7-6(4),0,R64,clay,1:16,,27.33,35.93,,,,,Paola Suarez,Anna Tatishvili,35.93,22.32,,,,
2012-05-29,17:25,French Open,WTA,Main,Chia-Jung Chuang,Polona Hercog,0,SRSSRRS;RRSSRR;SRSSS;RSSSRRS;SSSRRRS,4-1,0,R64,clay,0:28,RET,27.38,25.65,,,,,Vera Dushevina,Urszula Radwanska,25.65,21.48,,,,
2012-06-14,17:10,Bad Gastein,WTA,Main,Maria Abramovic,Mervana Jugic-Salkic,1,SRSSRRS;SRRSSRR;RSSRRR;RSSRRSR;SSSRS;RSSSRS;RRRR;SRRRR;RRRR;RSSRSS;RRRSR;RRRSR;S/SS/SR/SR/SR/SR/R.RSRRSSS;SRRSRSR;SSSRRRS;SSRRRR;SRRSSS;SSSS;SSRSS,6(5)-7 1-6,0,R16,clay,1:49,,24.82,19.10,,,,,Ajla Tomljanovic,Sandra Klemenschits,19.10,29.59,,,,
2012-06-15,11:10,Bad Gastein,WTA,Main,Darija Jurak,Hana Birnerova,0,SRRSSRR;RRSRSR;SSRSS;SRRRSR;SSRSS;RRSRR;RSRSSRR;SRSSS;SRRSSS.SSRSRS;SRRSRSS;SRSRRSR;SSSS;RRSRR;SSSS;SRSSRRS;SRSRRSR;SSSS;SSSRS,6-3 6-4,0,QF,clay,1:12,,28.19,32.59,,,,,Katalin Marosi,Richel Hogenkamp,32.59,20.16,,,,
2012-06-15,12:40,Bad Gastein,WTA,Main,Anna-Lena Groenefeld,Lindsay Lee-Waters,0,SSRRSRS;RSSRSS;SRRSSS;RSSRSS;RRRR;RSSRRSR;RRSSSS;RRRR;SSSS.RRSRSSS;RSRRR;SSRSRRR;SRSSRRS;RSSRRR;SRRSSS;SSSRS;SRSSS;RRSSRSR,6-3 6-3,0,QF,clay,1:06,,27.03,21.40,,,,,Petra Martic,Megan Moulton-Levy,21.40,27.26,,,,
2012-06-15,14:05,Bad Gastein,WTA,Main,Leticia Costas-Moreira,Jill Craybas,1,SRRRSSR;RSSRSS;RRRR;RRRR;RSSSRRR;SSRSS;RSRRR.RSSRRR;RSRSRSS;SSRSS;SRSRRR;SSSRRS;SRRSSRS;SSSRRRS;SSRRSS;SSSS;RSSSRRS;SSSS;SRRSRR,1-6 5-7,0,QF,clay,1:10,,22.23,22.04,,,,,Ines Ferrer-Suarez,Julia Goerges,22.04,23.62,,,,
2012-06-15,18:20,Bad Gastein,WTA,Main,Mervana Jugic-Salkic,Irina Begu,0,SSRSS;RSRRSSR;RRSSSS;RRSSSRS;SRSSS;SSSRS;RRSSSRS;SRSRRR.RSSSRS;SRSSS;RSSSS;SSSS;SSSS;RSSSRS;SRRRR;SSRSS;RSSSS;RSSSS.RRS/SS/RS/SR/SS/SS/SS/SR/RR/S,6-2 4-6 11-9,0,QF,clay,1:24,,32.09,29.59,,,,,Sandra Klemenschits,Mandy Minella,29.59,26.56,,,,
2012-06-16,17:05,Bad Gastein,WTA,Main,Anna-Lena Groenefeld,Darija Jurak,0,SSSRS;RRSSRSR;RSSRRR;SRSRSS;SRSSRS;SRRRSR;RRSSRSS;SRSRRSS;SSRSS.SRSSS;SSSS;RSRSSRR;SRSRSS;RSSSS;RRSRSSS;SSSRS;SRSRSS;SSRRSRS;RRRR;SRSSS;RSSSRS;R/SR/SS/RR/SS.RSR/RS/RR/SS/RR/RS/R,6-3 6(2)-7 10-4,0,SF,clay,1:36,,27.03,21.41,,,,,Petra Martic,Katalin Marosi,21.41,32.59,,,,
2012-06-17,11:10,Bad Gastein,WTA,Main,Anna-Lena Groenefeld,Jill Craybas,1,RRSRSR;RRRR;RRRSR;SRRRR;RSRRSSS;SSRSS;RRRSSSS;SRSSRRR;RRRR;RRSSSRS;RSSRRR;SRRRSSR;S/SR/RS/RR/SR/SR.SSRSS;RRSRR;SSSRRS;SRSRRSS;RSRSRR;SSRSRS;SSRRSS;SRRRSR;RRRR;SSSRRRR.RRR/SS/SR/RR/SR/RS/RS/SR/SR/S,7-6(4) 4-6 9-11,0,F,clay,1:44,,27.04,21.41,,,,,Petra Martic,Julia Goerges,21.41,23.62,,,,
2012-06-17,12:15,Birmingham,WTA,Main,Timea Babos,Natalie Grandin,0,SRRRSR;RSSRRR;SSRRRR;SSRRRR;RRSRSSR;RRRR;SRRSSRR;RRRSSSR;RRRSSR;SSSS.SRSSRS;SRRRSR;RRRSR;SRSRRR;SRRSRSR;SSRRRR;RSSSS;RSRSRSR.RRR/RS/SR/SR/RS/SR/SR/SS,4-6 6-2 10-7,0,QF,grass,1:22,,19.10,26.45,,,,,Su-Wei Hsieh,Vladimira Uhlirova,26.45,34.12,,,,
