date,start_time,tournament,type,tour,draw,server1,server2,winner,pbp,score,adf_flag,round,surface,duration,status,server1_age,server2_age,server1_ioc,server2_ioc,server1_rank,server2_rank
2016-01-30,9:43:22,Australian Open,Singles,WTA,128,Serena Williams,Angelique Kerber,1,SSSS;sRDSAS;RSrrr;srSSrS;rrsSSRSS;RSsrsrrr;sDrSRr;SrSss;RssSRs;sSsS.rsSSS;RSsrAS;SSrRSS;DRDSsr;RRsASs;rSSRSS;sSADRS;RrSSAS;SDAss.SsSrs;rRrR;RRArSr;RSSsA;ssrRsS;rsrrsArsARDsSRDR;SsAS;DsSrSS;RRsRSr;rrAssrrR,4-6 6-3 4-6,1,F,Hardcourt,02:09:02,,,,USA,GER,,
2016-05-05,12:10:09,Madrid,Singles,WTA,64,Louisa Chirico,Daria Gavrilova,0,RSsSrS;SsRRSS;SRRSSS;SSDsrrSS;sSss;RSSRSS;ssss;RsSrRssRARSs;srSSs;SrSrAS;SRSsS;sSsA;s/Rr/rs/RR/S.SsSS;RSSRrSDASS;rSDSRSDSRSSRSRRR;SrSSS;rsSDrSSRSrSS;SSRSRs;SRSRSrrR;SrrrSSSrRssS,7-6(1) 6-2,1,QF,Clay,01:41:13,,,,USA,AUS,,
2016-05-05,14:17:29,Madrid,Singles,WTA,64,Irina-Camelia Begu,Simona Halep,0,DSrSrR;rRSSss;DRSSSrsDSS;SSrSs;SAsS;rRRSsSsS;RsRRSSSRRSSS;RRSSsrsS;rRRSr.SrSDRR;sSSS;RsRsSRRR;RsSSS;rRSRsSRR;rSSDSS.SSSS;rsrDSR;SDrRSSSs;SrDSsS;SSRSDS;rRSrSSRSRr;sSRrRSss,6-3 0-6 6-1,1,QF,Clay,01:36:27,,,,ROU,ROU,,
2016-05-05,16:10:48,Madrid,Singles,WTA,64,Dominika Cibulkova,Sorana Cirstea,0,SSSRS;sDsrrsrSsS;RRSSRD;sSsS;RSRSAS;sSSs;SSSS;SSSRS;sDSrSrRSSRSRsS;SRSSS.RSSSs;rDsSRSrSSS;rsrSSs;RSsss;SsrrSS;SRRSRssS;SSSs;SRSDsrARSRRR;SrSSS.SsRRrr;rSrRSR;RSASrRrR;SSSrS;srRSRR;SDSRRSAs;SsSS;rDRR;RrSSRr,4-6 6-3 6-3,1,QF,Clay,02:05:55,,,,SVK,ROU,,
2016-05-05,21:45:10,Madrid,Singles,WTA,64,Samantha Stosur,Patricia Maria Tig,0,sRDSSS;SRrSsRsRSS;sRsSS;ASsS;RrSRsSsrsS;RSSSRS;SSrSrS;RDSSrR;rSRSRsSS.SSsS;rSsRsS;srsRrSARrSSRSS;DSSSS;SrSSS;sSsA;rrSrR;SADSRRSS;SSRSrRsRSS;RRRSSSSs,6-3 6-4,1,QF,Clay,01:32:58,,,,AUS,ROU,,
2016-05-06,14:09:22,Madrid,Singles,WTA,64,Dominika Cibulkova,Louisa Chirico,0,ssDRSS;SDRsRr;SSSS;rSrRSR;rSSsS;ASrSRS;SrSRSRSS.SsrAs;SSSs;SSrRSrArARsrrR;ARSRSs;sRrDD;SsrSS;RSRRSR,6-1 6-1,1,SF,Clay,00:59:14,,,,SVK,USA,,
2016-05-06,20:09:47,Madrid,Singles,WTA,64,Samantha Stosur,Simona Halep,0,SASRS;AsRSS;RSSDSS;RSSSrS;SSrrRr;ARsSS;SsrRRR;SsSS.SRRsRr;SSRAS;rrrr;SSSDRS;SrDRR;SssA,6-2 6-0,1,SF,Clay,00:50:39,,,,AUS,ROU,,
2016-05-07,18:12:54,Madrid,Singles,WTA,64,Dominika Cibulkova,Simona Halep,1,RRSrR;SRSSS;SSSA;SRsSrrSS;SRRsRR;SRSSS;SSSs;DRRSSSSS.RRRSSR;RSRsss;SSSDS;RRSsRSSDSRSRSRSS;SSRDSS;SSsA;rSRSSS;sRSSS;rssSs;sDAsA,2-6 4-6,1,F,Clay,01:20:16,,,,SVK,ROU,,
2016-05-09,11:14:24,Rome,Singles,WTA,64,Venus Williams,Coco Vandeweghe,1,sRrsrSSDsRSS;DsSrsrsA;sSrDSS;sAsS;sSsS;SAsRRs;ArSsDS;DSRSRr;rssrrSRr;DSrsRr.rRSRsSSrss;SDSsS;SSSS;rrrSSr;SsSs;SsSs;sSSS;Srsrss;RsDsSS,4-6 3-6,1,R64,Clay,01:28:03,,,,USA,USA,,
2016-05-09,13:01:02,Rome,Singles,WTA,64,Karin Knapp,Barbora Strycova,0,RRrR;SsSRS;srDRR;srRrsSSS;DSRssS;RsRSSDSS;DSSSDS;RSSrSRRSSS.SDrSRR;RRSSRsSS;SSrss;sRSSS;RsssrRRD;SsSS;rSRRsSDSsrSs;SRSSS,6-2 6-2,1,R64,Clay,01:24:55,,,,ITA,CZE,,
2016-05-09,14:16:42,Rome,Singles,WTA,64,Heather Watson,Sara Errani,1,sSSS;SSSRRRSS;SSDrRR;SRRRR;SsrRSrSRRSsS;RrSRSR;DRRR;sRSsRRSRRR;sSSRrRRSsrSDSRSRRr;rRSRR.RsRSRssrrr;SSSRS;SDrRr;SSRRSS;RRSRASSRSrss;RSSSRRRSRR;DSRSAS;SSSS;RRrSR.RSRRR;DSsrsS;RrSRSr;RSRRsSSS;rSRRSR;rSSSS,4-6 6-3 0-6,1,R64,Clay,02:16:46,,,,GBR,ITA,,
2016-05-09,14:46:35,Rome,Singles,WTA,64,Francesca Schiavone,Lucie Safarova,0,SSsS;DRsSRsSs;srrssS;rSSSS;srrssRRR;sAARRs;DSRSss;sSSs;SSrSRRrr.RSRsSS;SsRRRSsS;SSSS;DRRsSR;srrrSR;SRSRRr;SSsS;DRADsR,6-3 6-2,1,R64,Clay,01:10:39,,,,ITA,CZE,,
2016-05-09,16:53:38,Rome,Singles,WTA,64,Madison Keys,Andrea Petkovic,0,rrSSSA;SrRDSssrDR;rsRSSS;SRssDs;RrSSRsRsSS;sSSRS;rrSRR;ssRrss;SSsRRS;SrRrsr.rRSRsr;RSRDSR;ssSRrRSs;DARRSSRR;RSsRRsSA;sSRrRD;sAsS,6-4 6-1,1,R64,Clay,01:20:08,,,,USA,GER,,
2016-05-09,21:14:13,Rome,Singles,WTA,64,Ana Ivanovic,Anastasia Pavlyuchenkova,1,rssSRS;SSSs;RRrr;rrRR;SSSrS;RRSSRSsRSDRSDSRSSS;RSssrRSRrr;RrSRsr;SrSDsRsrSS;SRRSrSSRSrRR.rSSSs;sSsS;rRSrR;rRsRD;RSSSS;SRRSSrSS;Rssrss;RrrR;RrRSr;SRrSRSRD,4-6 4-6,1,R64,Clay,01:35:19,,,,SRB,RUS,,
2016-05-10,11:10:28,Rome,Singles,WTA,64,Caroline Garcia,Svetlana Kuznetsova,0,rSRsSS;DSRSSS;SRSsrRrR;ASrrss;sSsRA;AsDRsrDsRR;rRsRASAA;srsss;SsSRS;SsRRArsRAS;RRDSSsSrsRsRsRRR;SSsS.SSADRs;ASSrs;SRsrSS;SSSS;RRRSSR;ArRRR;RRsRSSsA;SsRRSrSs;SRSrSRSRSRrSRR;SRSRAs,7-5 6-4,1,R64,Clay,01:56:47,,,,FRA,RUS,,
2016-05-10,12:13:38,Rome,Singles,WTA,64,Eugenie Bouchard,Jelena Jankovic,1,rRSrR;RRSSrR;RAsSrs;SsSS;RRSRR;rRRsSsrSrD;ssrsS;SSRrRSRSArsS;SDSDSS;SRrSDD.sSrSrrsRRr;SRrSRR;RrRSR;RsSRSs;RSRrsR;RrAsDSrR;RSrrr;RRSRSsrsAS.SSsS;RRRr;rsRSsS;sRSSrS;DRRSR;RrrR;sRSsS;SSSS;RSSrss,4-6 6-2 3-6,1,R64,Clay,01:57:40,,,,CAN,SRB,,
2016-05-10,13:27:06,Rome,Singles,WTA,64,Samantha Stosur,Alison Riske,1,SsAS;rrRD;DSAsA;SrSARDSrss;DrrR;SSSS;RRSSRssrSS;DsSrsS;sRrRr;RRSSSs.SAsRRDrR;ssRSA;SRSrsDSrSs;SSDSDS;sSRss;DSRASDrR;RRRSsSrR;SrSsS;rsSSS;SRsRSRDD;SRSSs;RsSSrs;S/RA/SS/rs/sD/SS/s.srSSRrSRAS;SSrRSs;rDSRR;SSrrSS;sADrSRRsRr;DSSSs;RrRD,6-4 6(5)-7 1-6,1,R64,Clay,02:25:04,,,,AUS,USA,,
2016-05-10,14:57:49,Rome,Singles,WTA,64,Daria Gavrilova,Sabine Lisicki,1,sSRrRSSs;RDrSsSRR;rsSSS;ASsS;sRSsrDSs;rRDr;SSsRrS.rssrSRsRsRSS;rrsrR;RSrssS;RSSRSS;RSrSsrSs;SSRSS;rrDR;rSDsss;SRrrr;rrrr;RSsss;sSsRs;S/sA/DR/Sr/SD/S,1-6 6(3)-7,1,R64,Clay,01:22:49,,,,AUS,GER,,
2016-05-10,16:38:39,Rome,Singles,WTA,64,Carla Suarez Navarro,Teliana Pereira,0,rsSDrSSS;SSsRs;srSsS;RrRR;rSSSS;RSrRr;DSSRSs.RRRsr;sSSs;sRrSrSRR;srrRSR;SSRRRr;SSsS;ssRRSS;SRrrSR;SRSSS;rRsSRSRr;RSSRSrSRRSSRRr;sSRSRS,6-1 7-5,1,R32,Clay,01:28:57,,,,ESP,BRA,,
2016-05-10,19:42:02,Rome,Singles,WTA,64,Anna-Lena Friedsam,Serena Williams,0,rRSsAS;rSSsA;ssRRRR;SssS;ARsrSS;SAsS;sSRrAs;AsrAS;SSRSrRSrrSsRsS;sRSSs.rSSRAs;DDSSRSsS;rsrArD;ArSrsRSRRR;SrrRR;ASAS;RSSSS;sSsS;RSARRr,6-4 6-3,1,R32,Clay,01:15:38,,,,GER,USA,,
2016-05-11,11:11:43,Rome,Singles,WTA,64,Irina-Camelia Begu,Victoria Azarenka,1,ssrrRr;SrRRSD;ArRSSrsS;RrRD;SRSSS;SAsS;DSsSA;DDssSs;SSARs.rRArsr;RSSrsS;rSRSSs;DSrARSArSRsS;RRssDR;ASAs;SSSDS;SSrsS,3-6 2-6,1,R32,Clay,01:14:16,,,,ROU,BLR,,
2016-05-11,11:11:26,Rome,Singles,WTA,64,Ekaterina Makarova,Garbine Muguruza,1,RrRR;ASrAs;RRSrSR;SArrsS;RASsRS;ssSs;RSRRASSRDr.ASAs;RRRSR;SssDS;rRRSASRr;SSSS;sRrRR,1-6 0-6,1,R32,Clay,00:47:10,,,,RUS,ESP,,
2016-05-11,12:43:49,Rome,Singles,WTA,64,Eugenie Bouchard,Angelique Kerber,0,SDssrrSS;SDssRS;DSRSSRRsss;SrSRDr;SsSs;ssRDSRRD;ssss.SrSrsRRSrR;SSSs;rSRsRR;srsRDR;DsSRsS;SRsRSRSs;rSsSRrARSrSS;RRrAR;SSSRs;sSSs;srrRSsSS;rrsRSr.SrSSS;srSrSRsRRsRr;rSrSRsRr;DSSss;SSRSrs;SSss;SSsrRs;sRSSRS;SsrSRS;SsrRSA;rSsRSRRR;rrSsSrSs,6-1 5-7 7-5,1,R32,Clay,02:21:57,,,,CAN,GER,,
